# Logfile created on 2018-02-25 00:00:54 -0800 by logger.rb/56815
#Version: 0.0.1
#Fields: event_time	client_ip	session_cookie_id	user_cookie_id	user_id	request_url	identifier	filename	size	user-agent	title	publisher	publisher_id	authors	publication_date	version	other_ids	target_url	publication_year
#Software: Dash
#Start-Date: 2018-02-25T00:00:00-08:00
#End-Date: 2018-02-26T00:00:00-08:00
2018-02-25T00:00:54-08:00	54.70.40.11	-	-	-	http://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1P075	doi:10.7280/D1P075	-	-	Mozilla/5.0 (compatible) SemanticScholarBot (+https://www.semanticscholar.org/crawler)	UCI Libraries' Chatbot Files (ANTswers)	UC Irvine	????	Danielle Kane	2017-10-10T17:34:06Z	3	????	https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1P075	2017
2018-02-25T00:10:35-08:00	66.249.66.88	-	-	-	http://datashare.ucsf.edu/stash/dataset/doi:10.15146/R3WK5C	doi:10.15146/R3WK5C	-	-	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	Eurytemora affinis 2008 Experiments	California Digital Library	????	Carly Strasser	2012-12-14T00:00:00Z	1	????	https://oneshare.cdlib.org/stash/dataset/doi:10.15146/R3WK5C	2012
2018-02-25T00:21:18-08:00	66.249.73.72	-	-	-	http://dash.ucop.edu/stash/dataset/doi:10.6078/D1QG6W	doi:10.6078/D1QG6W	-	-	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	Emeprical Studies on  the difference between urban and rural of  different areas in China	UC Berkeley	????	Juan Chen	2016-11-21T12:58:12Z	1	????	https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1QG6W	2016
2018-02-25T00:35:15-08:00	128.195.188.235	-	-	-	http://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1001P	doi:10.7280/D1001P	-	-	uci-gsa-crawler (Enterprise; T5-JXXVUC5LX7WBV; bryanga@uci.edu,jkreuzig@uci.edu)	Oak Woodland Monitoring for the Irvine Open Space Easements (4)	UC Irvine	????	The Nature Conservancy San Diego Field Office	2015-04-14T18:27:50Z	1	????	https://dash.lib.uci.edu/stash/dataset/doi:10.7280/D1001P	2015
2018-02-25T00:41:41-08:00	66.249.79.112	-	-	-	http://oneshare.cdlib.org/stash/dataset/doi:10.6078/D1QG6W	doi:10.6078/D1QG6W	-	-	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	Emeprical Studies on  the difference between urban and rural of  different areas in China	UC Berkeley	????	Juan Chen	2016-11-21T12:58:12Z	1	????	https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1QG6W	2016
2018-02-25T00:46:46-08:00	66.249.79.116	-	-	-	http://oneshare.cdlib.org/stash/downloads/file_download/22512	doi:10.6078/D1QG6W	journal.pone.0154563.t001.TIF	1011352	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	Emeprical Studies on  the difference between urban and rural of  different areas in China	UC Berkeley	????	Juan Chen	2016-11-21T12:58:12Z	1	????	https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1QG6W	2016
2018-02-25T00:47:36-08:00	66.249.79.114	-	-	-	http://oneshare.cdlib.org/stash/data_paper/doi:10.6078/D1QG6W	doi:10.6078/D1QG6W	-	-	Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)	Emeprical Studies on  the difference between urban and rural of  different areas in China	UC Berkeley	????	Juan Chen	2016-11-21T12:58:12Z	1	????	https://dash.berkeley.edu/stash/dataset/doi:10.6078/D1QG6W	2016
2018-02-25T00:49:06-08:00	40.77.167.72	-	-	-	http://dash.lib.uci.edu/stash/dataset/doi:10.7272/Q6QN64NK	doi:10.7272/Q6QN64NK	-	-	Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)	Posttraumatic Stress Disorder (PTSD)	UC San Francisco	????	Michael W. Weiner|Norbert Schuff	2013-08-22T17:45:32Z	1	????	https://datashare.ucsf.edu/stash/dataset/doi:10.7272/Q6QN64NK	2012
2018-02-25T00:53:05-08:00	172.30.32.144	-	-	-	http://datashare.ucsf.edu/stash/dataset/doi:10.7272/Q6N58JH2	doi:10.7272/Q6N58JH2	-	-	EZID (EZID link checker; https://ezid.cdlib.org/)	Gut Microbiota from Multiple Sclerosis patients triggers spontaneous autoimmune encephalomyelitis in mice --shotgun data--	UC San Francisco	????	Hartmut Wekerle|Kerstin Berer|Lisa Ann Gerdes|Egle Cekanaviciute|Sherman Jia|Liang Xiao|Zhongkui Xia|Chuan Liu|Luisa Klotz|Uta Stauffer|Sergio Baranzini|Tania Kümpfel|Reinhard Hohlfeld|Gurumoorthy Krishnamoorthy	2017-10-02T07:00:00Z	3	????	https://datashare.ucsf.edu/stash/dataset/doi:10.7272/Q6N58JH2	2017
2018-02-25T00:53:38-08:00	172.30.32.144	-	-	-	http://datashare.ucsf.edu/stash/dataset/doi:10.7272/Q6RX997G	doi:10.7272/Q6RX997G	-	-	EZID (EZID link checker; https://ezid.cdlib.org/)	Gut Microbiota from Multiple Sclerosis patients triggers spontaneous autoimmune encephalomyelitis in mice --16S data--	UC San Francisco	????	Hartmut Wekerle|Kerstin Berer|Lisa Ann Gerdes|Egle Cekanaviciute|Sherman Jia|Liang Xiao|Zhongkui Xia|Chuan Liu|Luisa Klotz|Uta Stauffer|Sergio Baranzini|Tania Kümpfel|Reinhard Hohlfeld|Gurumoorthy Krishnamoorthy	2017-10-02T07:00:00Z	2	????	https://datashare.ucsf.edu/stash/dataset/doi:10.7272/Q6RX997G	2017
2018-02-25T00:53:47-08:00	172.30.32.144	-	-	-	http://datashare.ucsf.edu/stash/dataset/doi:10.7272/Q6WQ01ZB	doi:10.7272/Q6WQ01ZB	-	-	EZID (EZID link checker; https://ezid.cdlib.org/)	Gut bacteria from multiple sclerosis patients modulate human T cells and exacerbate symptoms in mouse models	UC San Francisco	????	Sergio Baranzini	2017-10-02T07:00:00Z	2	????	https://datashare.ucsf.edu/stash/dataset/doi:10.7272/Q6WQ01ZB	2017
